Amount,Date,Recipient
$76.92,6/30/2017,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,6/16/2017,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,6/2/2017,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,5/19/2017,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,5/5/2017,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,4/21/2017,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,4/7/2017,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,3/24/2017,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,3/10/2017,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,2/24/2017,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,2/10/2017,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/30/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/16/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/2/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,11/18/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,11/4/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,10/21/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,10/7/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,9/23/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,9/9/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,8/26/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,8/12/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,7/29/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,7/15/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,7/1/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,6/17/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,6/3/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,5/20/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,5/6/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,4/22/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,4/8/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,3/25/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,3/11/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,2/26/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,2/12/2016,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/31/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/18/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/4/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,11/20/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,11/6/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,10/23/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,10/9/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,9/25/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,9/11/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,8/28/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,8/14/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,7/31/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,7/17/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,7/2/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,6/19/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,6/5/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,5/22/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,5/8/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,4/24/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,4/10/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
