Amount,Date,Recipient
$76.92,3/27/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,3/13/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,2/27/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,2/13/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,1/30/2015,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/19/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/5/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,11/21/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,11/7/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,10/24/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,10/10/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,9/26/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$250.00,9/23/2014,Friends of Roy Blunt
$76.92,9/12/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,8/29/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,8/15/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,8/1/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,7/18/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,7/3/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,6/20/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,6/6/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,5/23/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,5/9/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,4/25/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,4/11/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,3/28/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,3/14/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,2/28/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,2/14/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,1/31/2014,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/20/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,12/6/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,11/22/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,11/8/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,10/25/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,10/11/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,9/27/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,9/13/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,8/30/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,8/16/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$250.00,8/14/13,Duckworth for Congress
$76.92,8/2/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,7/19/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,7/5/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,6/21/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,6/7/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,5/24/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,5/10/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,4/26/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,4/12/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,3/29/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
$76.92,3/15/2013,Express Scripts Inc. Political Fund (A/K/A Express Scripts PAC)
